English words/sentences,Vietnamese words/sentences
Let's try something.,hãy cùng cố gắng nào
I have to go to sleep.,Tôi phải đi ngủ.
I have to go to sleep.,Tôi phải đi ngủ
Today is June 18th and it is Muiriel's birthday!,"Hôm nay là ngày 18 tháng sáu, và cũng là ngày sinh nhật của Muiriel!"
Muiriel is 20 now.,Bây giờ Muiriel được 20 tuổi.
"The password is ""Muiriel"".","Mật mã là ""Muiriel""."
I will be back soon.,Tôi sẽ quay lại sớm.
I will be back soon.,Tôi sẽ quay lại sớm thôi.
I will be back soon.,Tôi sẽ sớm trở lại
I'm at a loss for words.,Tôi hết lời để nói.
I'm at a loss for words.,Tôi không biết nói gì.
I'm at a loss for words.,Tôi không còn gì để nói cả.
I'm at a loss for words.,tôi không nói lên lời
This is never going to end.,Điều này sẽ không bao giờ chấm dứt.
This is never going to end.,Điều này sẽ chẳng bao giờ kết thúc.
This is never going to end.,điều này sẽ không bao giờ kết thúc
This is never going to end.,Điều này chưa bao giờ đi đến kết thúc
I just don't know what to say.,Tôi không biết nên nói gì cả...
I just don't know what to say.,tôi chỉ không biết nói gì
I just don't know what to say.,Tôi chưa biết gì để nói
That was an evil bunny.,Đó là một con thỏ hung ác.
I was in the mountains.,Tôi từ trên núi xuống.
I was in the mountains.,Tôi đã ở trên núi
Is it a recent picture?,Tấm hình này có mới không?
Is it a recent picture?,Nó có phải là tấm hình mới chụp không?
Is it a recent picture?,Nó là bức ảnh gần đây đúng không
I don't know if I have the time.,Tôi không biết liệu tôi có thời gian
You are in my way.,Bạn ở trên con đường của tôi
This will cost €30.,Cái này sẽ tốn €30.
This will cost €30.,Việc này sẽ tốn €30.
This will cost €30.,Thứ này sẽ tốn €30.
I make €100 a day.,Tôi kiếm được 100 euro một ngày.
It's because you don't want to be alone.,Đó là vì bạn không muốn đơn độc.
That won't happen.,Điều đó sẽ không xảy ra.
That won't happen.,Điều đó sẽ không xảy ra đâu.
That won't happen.,Điều đó sẽ không xảy ra
I'll do my best not to disturb your studying.,Tôi sẽ cố không quấy rầy bạn học hành.
I miss you.,Tôi nhớ bạn
I'll call them tomorrow when I come back.,Tôi sẽ gọi họ vào ngày mai khi tôi quay trở lại
You should sleep.,Bạn nên đi ngủ đi.
You should sleep.,Bạn nên đi ngủ
I'm going to go.,Tôi sẽ đi ngủ
I told them to send me another ticket.,Tôi bảo họ gửi tôi thẻ khác
You're so impatient with me.,Bạn không thân thiện với tôi
I can't live that kind of life.,Tôi không thể sống tốt cho đời này
I once wanted to be an astrophysicist.,Tôi muốn 1 lần trở thành 1 nhà vật lí thiên văn học
I never liked biology.,Tôi chưa bao giờ thích sinh học
The last person I told my idea to thought I was nuts.,Người cuối cùng tôi nói ý tưởng của tôi nghĩ rằng tôi mất trí
"If the world weren't in the shape it is now, I could trust anyone.","Nếu thế giới không như bây giờ, thì tôi có thể tin ai cũng được."
It is unfortunately true.,Tiếc rằng cái đó là sự thật.
Most people think I'm crazy.,Nhiều người nghĩ là tôi điên.
Most people think I'm crazy.,Nhiều người cho là tôi bị điên.
Most people think I'm crazy.,Hầu hết mọi người nghĩ tôi bị điên
Are you sure?,Bạn chắc chứ
"Oh, there's a butterfly!","Ô kìa, con bươm bướm!"
Hurry up.,Mau lên!
Hurry up.,Thoáng cái chân lên!
Hurry up.,Nhanh lên
It doesn't surprise me.,Điều đó không khiến tôi ngạc nhiên.
It doesn't surprise me.,Điều đó không làm tôi ngạc nhiên.
It doesn't surprise me.,Điều đó không làm cho tôi ngạc nhiên.
It doesn't surprise me.,Nó không làm tôi ngạc nhiên
It depends on the context.,Cái đó tùy thuộc vào văn cảnh.
It depends on the context.,Nó phụ thuộc vào ngữ cảnh
That's the stupidest thing I've ever said.,Đó là điều ngu nhất mà tôi đã từng nói
"When I grow up, I want to be a king.","khi tôi lớn, tôi muốn trở thành một ông vua"
"When I grow up, I want to be a king.","Khi tôi sinh ra, tôi muốn làm 1 nhà vua"
"America is a lovely place to be, if you are here to earn money.",Sống ở Mỹ rất thích nếu là ở đây để kiếm tiền.
I'm so fat.,Tôi mập quá.
I'm so fat.,Tôi béo quá.
I'm so fat.,Tôi béo vãi.
I'm so fat.,Tôi quá béo
So what?,Thì sao?
So what?,Thì?
I'm gonna shoot him.,Tao sẽ bắn hạ nó.
I'm gonna shoot him.,Tôi sẽ bắn nó.
I'm gonna shoot him.,Tôi sẽ bắn hắn.
I'm gonna shoot him.,Tôi sẽ bắn anh ta.
That was probably what influenced their decision.,Điều đó là có lẽ là đã ảnh hưởng đến quyết định của họ
I've always wondered what it'd be like to have siblings.,tôi luôn tự hỏi sẽ như thế nào khi có anh chị sinh đôi
It would take forever for me to explain everything.,tôi sẽ mất mãi mãi để giải thích mọi thứ
That's because you're a girl.,Cái đó là tại vì bạn là con gái.
That's because you're a girl.,Đó là vì bạn là một cô gái.
That's because you're a girl.,đó là bởi vì bạn là 1 cô gái
I don't intend to be selfish.,Tôi không có ý định ích kỷ đâu.
Let's consider the worst that could happen.,hãy cùng nhau xem xét những điều tồi tệ nhất có thể xảy đến
How many close friends do you have?,Bạn có bao nhiêu bạn thân?
How many close friends do you have?,bạn có bao nhiêu những người bạn thân ?
This is always the way it has been.,Đây là luôn luôn cách mà nó diễn ra
I think it is best not to be impolite.,tôi nghĩ điều tốt nhất là không mất lịch sự
One can always find time.,Một người luôn luôn có thể kiếm thêm thì giờ.
One can always find time.,Một ai đó có thể luôn luôn tìm thấy thời gian
"I'd be unhappy, but I wouldn't kill myself.",Tôi sẽ buồn nhưng tôi không muốn giết chết bản thân mình
"Back in high school, I got up at 6 a.m. every morning.","trở lại trường học , tôi dậy lúc 6 giờ mỗi buổi sáng"
"If I could send you a marshmallow, Trang, I would.",Nếu tôi có thể gửi Trang một cục marshmallow thì tôi sẽ gửi.
"In order to do that, you have to take risks.","để làm điều đó, bạn phải mạo hiểm"
Why do you ask?,tại sao bạn hỏi
Why do you ask?,tại sao bạn lại hỏi
"I am a flawed person, but these are flaws that can easily be fixed.",Tôi là người có nhiều thói xấu nhưng những thói xấu này có thể dễ dàng sửa.
"Whenever I find something I like, it's too expensive.",Hễ tôi kiếm được cái gì tôi thích thì nó lại đắt quá.
"Whenever I find something I like, it's too expensive.","khi tôi tìm kiếm thứ gì đó tôi thích, nó lại quá đắt"
How long did you stay?,Bạn đã ở đây bao lâu
Humans were never meant to live forever.,Con người không bao giờ sống mãi mãi
I think I have a theory about that.,tôi nghĩ tôi có một giả thuyết về điều đó
I think I have a theory about that.,Tôi nghĩ là tôi có lý thuyết về điều đó
That is intriguing.,Cái đó nhìn hấp dẫn.
That is intriguing.,Điều đó thật hấp dẫn
I didn't know where it came from.,Tôi đã không biết nó đã đến từ đâu
This is not important.,điều đó không quan trọng
This is not important.,Điều này không quan trọng
I didn't like it.,tôi không thích nó
I didn't like it.,Tôi đã không thích nó
I didn't like it.,Tôi không thích nó
She's asking how that's possible.,Cô ấy đang hỏi làm thế nào mà nó có thể xảy ra
You're just running away from life's problems.,bạn chỉ đang chạy thoát khỏi các vấn đề của cuộc sống
There's a problem there that you don't see.,Có một vấn đề mà bạn không để ý.
There's a problem there that you don't see.,Có 1 vấn đề ở đó mà bạn không nhìn thấy
You can do it.,bạn có thể làm được
You can do it.,Bạn có thể làm nó
